stream_id,condition,baseline_condition,backend,embedding_name,homology_dim,euclidean_feature_distance,z_scored_euclidean_feature_distance
sha256_seeded_baseline_r005,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,4.309566811702011,2.396123941295844
sha256_seeded_baseline_r006,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,16.440233251644493,1.8060529183162988
sha256_seeded_baseline_r006,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,11.667278337255677,1.267524319486156
sha256_seeded_baseline_r006,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,17.25001551482699,0.6686174480690344
sha256_seeded_baseline_r006,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,0.9098925582400975,1.3481703378033132
sha256_seeded_baseline_r007,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,0,19.268660820778997,2.3414301621686953
sha256_seeded_baseline_r007,sha256_seeded_baseline,sha256_seeded_baseline,ripser,byte_pair_2d,1,25.102309105640614,2.2147043510499755
sha256_seeded_baseline_r007,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,0,34.750026040988494,2.755011147478135
sha256_seeded_baseline_r007,sha256_seeded_baseline,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.687061627419532,2.023286648774675
os_csprng_r000,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,3.7123106446201946,1.4717644982040796
os_csprng_r000,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,9.545953179613138,2.6768225693324914
os_csprng_r000,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,26.750020800088954,1.0970040847466367
os_csprng_r000,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,0.27895915533033516,0.6377795931748274
os_csprng_r001,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,10.429825302178395,1.2112442453482593
os_csprng_r001,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,9.545955846280902,1.461410467946099
os_csprng_r001,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,25.25002125048896,1.9391193112475105
os_csprng_r001,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.31261566868988,2.7047061442410567
os_csprng_r002,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,17.500895198431625,3.324566054935861
os_csprng_r002,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,18.031223334915015,2.175313271242873
os_csprng_r002,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,70.75006193216107,2.630544054844672
os_csprng_r002,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.4140946612297913,1.4776700040518382
os_csprng_r003,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,9.36916779700376,3.022411670538426
os_csprng_r003,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,5.303306383726888,1.4357909877476003
os_csprng_r003,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,60.25004612053358,3.8644812683707603
os_csprng_r003,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,0.9007253292704326,7.245123399306086
os_csprng_r004,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,16.440232834669125,2.2172189008505736
os_csprng_r004,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,20.859651976652565,1.4819725202702683
os_csprng_r004,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,18.75001686929248,3.231781693351157
os_csprng_r004,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.1523109341061775,0.773636139241814
os_csprng_r005,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,48.967145574320824,3.9548461689103314
os_csprng_r005,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,3.8890894921450654,1.195486703111929
os_csprng_r005,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,35.250030304722955,2.498714778166655
os_csprng_r005,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.883016658912796,1.5980784186923178
os_csprng_r006,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,5.126526793549757,2.7163040126618405
os_csprng_r006,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,26.516506778124164,2.615646029726975
os_csprng_r006,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,27.75002254390769,1.1523522891237377
os_csprng_r006,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.8915122554140003,0.9518442297497819
os_csprng_r007,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,0,13.611805541170003,2.2160306537306
os_csprng_r007,os_csprng,sha256_seeded_baseline,ripser,byte_pair_2d,1,25.809410713489818,1.7381262533713273
os_csprng_r007,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,0,8.25000815707612,1.1358467748900847
os_csprng_r007,os_csprng,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.094810661959497,1.6495431966984613
lcg_weak_r000,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,65.9377077736177,4.659469408387721
lcg_weak_r000,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,6.0104338039961185,2.4164665724102923
lcg_weak_r000,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,78.25005879159055,2.259589597784231
lcg_weak_r000,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.8917240763654786,3.507733923289907
lcg_weak_r001,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,37.65343756940871,3.5461201423372617
lcg_weak_r001,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,30.052053628474173,2.0163862052605004
lcg_weak_r001,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,82.25006129653707,2.441954227182585
lcg_weak_r001,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,4.040773816161724,1.9205374685731835
lcg_weak_r002,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,41.8960776956924,4.191789532686653
lcg_weak_r002,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,73.89270547295236,6.505378424240574
lcg_weak_r002,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,113.25008032411831,3.7941491101856095
lcg_weak_r002,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,8.13477889172002,3.860270703483969
lcg_weak_r003,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,58.86664038025993,4.508279275200784
lcg_weak_r003,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,47.022612838770584,2.742005490072812
lcg_weak_r003,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,59.250045842059734,1.781458869462169
